epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1792.7,0.52776,1.23997,0.13584,0.4164,0.96639,0.96342,0.96937,0.98292,0.90283,0.9775,0.96026,0.97962,0.86815,0.41911,0.6032,0.07887,0.31322,0.90944,0.000544776,0.000544776,0.000544776
70,1818.31,0.51721,1.22549,0.13794,0.41472,0.96011,0.95749,0.96673,0.98187,0.89916,0.97398,0.95121,0.9787,0.86444,0.42121,0.59098,0.07955,0.31538,0.90781,0.000528272,0.000528272,0.000528272
71,1844.15,0.52002,1.22699,0.13916,0.40855,0.96363,0.95621,0.97083,0.9798,0.89955,0.95662,0.97125,0.97518,0.86528,0.41937,0.59613,0.07676,0.3235,0.91433,0.000511769,0.000511769,0.000511769
72,1870.54,0.50965,1.204,0.13688,0.40548,0.95535,0.95617,0.97176,0.98485,0.90253,0.95881,0.96937,0.97944,0.866,0.42001,0.58597,0.08112,0.30132,0.9076,0.000495266,0.000495266,0.000495266
73,1896.06,0.51047,1.19517,0.13388,0.41039,0.95714,0.94477,0.96698,0.98002,0.90329,0.94479,0.96745,0.97583,0.86942,0.41154,0.57725,0.07868,0.31592,0.90712,0.000478762,0.000478762,0.000478762
74,1922.09,0.50622,1.16966,0.13422,0.40159,0.95562,0.96536,0.96266,0.98563,0.9071,0.96566,0.95564,0.981,0.87197,0.4218,0.59322,0.08226,0.30962,0.91504,0.000462259,0.000462259,0.000462259
75,1948.02,0.5006,1.11884,0.13256,0.39734,0.95696,0.9636,0.95979,0.98467,0.90586,0.96361,0.95969,0.97943,0.86699,0.40893,0.5778,0.07891,0.30487,0.90639,0.000445756,0.000445756,0.000445756
76,1973.65,0.50546,1.12936,0.13171,0.39806,0.95612,0.96473,0.95728,0.98505,0.9117,0.96051,0.9675,0.98185,0.88697,0.40126,0.5384,0.07893,0.30068,0.90484,0.000429253,0.000429253,0.000429253
77,1999.7,0.49631,1.10774,0.13083,0.39148,0.95662,0.95376,0.97221,0.98396,0.9091,0.95701,0.96743,0.98231,0.88634,0.40151,0.53272,0.07841,0.30514,0.90075,0.000412749,0.000412749,0.000412749
78,2025.58,0.49288,1.12931,0.13173,0.39725,0.95374,0.94438,0.97486,0.98243,0.90942,0.94721,0.97313,0.98161,0.88883,0.39593,0.53802,0.07467,0.3069,0.89915,0.000396246,0.000396246,0.000396246
